Grupos de edad;Hombres;Mujeres;Total;Hombres;Mujeres;Total;Hombres;Mujeres;Total;Hombres;Mujeres;Total
 0-4;304.095;290.790;594.885;304.059;289.775;593.834;309.432;293.798;603.230;251.852;241.435;493.287
 5-9  ;317.962;305.340;623.302;306.436;292.071;598.507;306.434;291.748;598.182;246.306;236.517;482.823
 10-14  ;325.522;312.530;638.052;319.911;308.646;628.557;309.819;295.249;605.068;249.424;241.276;490.700
 15-19;307.736;300.289;608.025;331.371;320.742;652.113;325.752;316.724;642.476;277.245;273.634;550.879
 20-24;308.620;335.953;644.573;314.591;310.388;624.979;338.888;331.072;669.960;354.946;356.644;711.590
 25-29;292.733;318.352;611.085;312.007;341.825;653.832;319.048;316.585;635.633;373.077;376.169;749.246
 30-34;256.734;280.767;537.501;293.278;320.707;613.985;313.458;344.416;657.874;332.708;340.455;673.163
 35-39;246.053;276.102;522.155;256.024;281.535;537.559;293.158;321.621;614.779;298.000;315.704;613.704
 40-44;232.004;267.213;499.217;244.290;275.771;520.061;254.902;281.441;536.343;255.201;284.724;539.925
 45-49;192.005;227.516;419.521;229.412;265.949;495.361;242.123;274.714;516.837;219.418;257.705;477.123
 50-54;149.116;178.812;327.928;188.754;225.498;414.252;225.926;263.777;489.703;210.886;257.211;468.097
 55-59;114.927;138.070;252.997;145.064;176.026;321.090;183.930;222.154;406.084;193.227;241.982;435.209
 60-64;84.365;102.054;186.419;109.817;134.465;244.282;138.521;171.404;309.925;154.051;198.658;352.709
 65-69;58.395;77.296;135.691;78.036;97.554;175.590;101.631;128.566;230.197;111.204;149.260;260.464
 70-74;42.022;57.912;99.934;51.185;71.279;122.464;68.583;90.087;158.670;76.352;106.789;183.141
 75-79;29.381;43.193;72.574;33.870;50.271;84.141;41.392;62.014;103.406;48.851;70.936;119.787
 80 y más;24.038;42.219;66.257;30.608;52.567;83.175;37.016;63.400;100.416;55.090;87.018;142.108
Población total ;3.285.708;3.554.408;6.840.116;3.548.713;3.815.069;7.363.782;3.810.013;4.068.770;7.878.783;3.707.838;4.036.117;7.743.955
